customer_id,annual_income_k,spending_score,cluster
98,41.0,26.43,3
99,31.71,84.84,1
100,85.42,30.32,0
101,37.38,82.36,1
102,88.64,28.73,0
103,43.57,60.67,1
104,48.85,100.0,1
105,88.84,4.38,0
106,88.51,32.58,0
107,77.28,75.96,2
108,36.14,26.41,3
109,36.93,76.61,1
110,38.45,16.6,3
111,91.58,78.47,2
112,79.41,20.75,0
113,97.43,53.32,2
114,79.42,6.97,0
115,73.42,84.07,2
116,24.58,29.11,3
117,32.8,12.61,3
118,89.79,94.08,2
119,82.63,45.95,0
120,84.51,23.87,0
121,41.35,28.73,3
122,82.02,27.43,0
123,32.28,82.05,1
124,53.21,77.79,1
125,78.19,83.1,2
126,98.95,32.71,0
127,31.75,16.45,3
128,35.53,25.11,3
129,44.03,28.91,3
130,38.3,31.64,3
131,30.25,79.12,1
132,40.05,38.17,3
133,34.76,74.11,1
134,95.4,17.6,0
135,75.57,20.88,0
136,39.35,27.09,3
137,98.54,86.01,2
138,85.53,23.15,0
139,29.39,73.13,1
140,39.26,36.69,3
141,81.06,65.91,2
142,71.04,27.74,0
143,87.62,23.67,0
144,37.44,31.21,3
145,93.8,88.06,2
146,41.38,72.11,1
147,92.63,77.32,2
148,96.56,77.44,2
149,30.2,70.44,1
150,34.09,27.14,3
151,32.32,27.82,3
152,82.98,28.32,0
153,84.57,80.82,2
154,98.61,93.1,2
155,41.22,20.78,3
156,105.5,90.33,2
157,81.68,92.27,2
158,37.92,21.79,3
159,92.92,39.44,0
160,19.39,22.22,3
161,36.84,82.09,1
162,30.9,21.95,3
163,94.17,85.57,2
164,91.91,34.0,0
165,89.66,26.82,0
166,89.06,89.57,2
167,36.13,90.72,1
168,36.3,32.54,3
169,47.33,83.47,1
170,45.15,80.48,1
171,83.33,71.53,2
172,100.57,79.23,2
173,24.79,21.26,3
174,85.24,77.42,2
175,40.69,51.22,3
176,35.93,22.85,3
177,72.42,28.96,0
178,87.37,27.11,0
179,40.95,20.23,3
180,39.96,75.0,1
181,64.47,32.32,0
182,33.76,28.6,3
183,100.62,83.87,2
184,96.0,85.23,2
185,41.04,82.18,1
186,40.2,25.65,3
187,88.49,65.95,2
188,36.79,26.98,3
189,39.67,73.44,1
190,90.74,89.77,2
191,85.73,100.0,2
192,72.73,28.45,0
193,36.86,39.42,3
194,81.23,6.43,0
195,97.09,4.21,0
196,71.33,92.9,2
197,42.52,30.63,3
198,50.45,68.41,1
199,32.44,19.24,3
200,32.97,98.84,1
201,26.68,21.15,3
202,78.16,84.09,2
203,39.05,66.8,1
204,35.54,32.52,3
205,82.37,15.47,0
206,54.14,77.99,1
207,87.87,76.95,2
208,39.93,9.45,3
209,81.44,83.91,2
210,32.47,21.73,3
211,88.51,36.96,0
212,94.24,29.77,0
213,92.9,80.9,2
214,52.29,76.69,1
215,47.45,74.68,1
216,36.01,70.24,1
217,23.6,80.0,1
218,23.34,14.3,3
219,46.71,77.41,1
220,34.87,21.56,3
221,44.02,29.33,3
222,42.75,11.76,3
223,98.92,88.08,2
224,33.25,82.85,1
225,27.33,21.19,3
226,82.32,18.31,0
227,27.64,23.73,3
228,90.56,92.63,2
229,37.33,94.16,1
230,93.07,94.66,2
231,78.94,62.08,2
232,92.66,82.32,2
233,39.69,42.97,3
234,31.24,16.66,3
235,36.71,96.53,1
236,37.31,28.21,3
237,84.77,74.96,2
238,91.62,29.99,0
239,93.42,84.19,2
240,80.85,12.29,0
241,38.74,29.02,3
242,96.64,69.72,2
243,91.28,76.02,2
244,100.83,85.99,2
245,98.86,32.6,0
246,28.07,23.0,3
247,89.45,72.34,2
248,40.43,37.23,3
249,33.43,72.32,1
250,85.16,75.11,2
251,29.55,13.1,3
252,46.96,30.72,3
253,86.85,81.67,2
254,98.82,23.63,0
255,86.33,85.74,2
256,84.46,29.72,0
257,90.1,25.49,0
258,84.17,38.28,0
259,39.61,73.51,1
260,86.22,32.62,0
261,29.78,75.24,1
262,57.03,96.89,1
263,87.72,79.49,2
264,45.15,77.6,1
265,82.3,72.92,2
266,33.52,11.98,3
267,75.62,27.49,0
268,25.93,19.49,3
269,41.76,70.13,1
270,41.28,64.18,1
