customer_id,tenure_months,monthly_charges,contract,internet_service,support_plan,city,churned
2093,61.0,75.37,month-to-month,dsl,no,Nablus,0
2094,28.0,101.81,two-year,fiber,no,Ramallah,0
2095,65.0,37.75,month-to-month,dsl,no,Hebron,0
2096,21.0,45.46,month-to-month,fiber,yes,Nablus,0
2097,18.0,37.77,one-year,fiber,yes,Hebron,0
2098,50.0,55.53,two-year,dsl,no,Bethlehem,0
2099,46.0,82.67,month-to-month,none,no,Bethlehem,0
2100,11.0,84.53,month-to-month,fiber,yes,Bethlehem,1
2101,60.0,79.08,two-year,fiber,yes,Ramallah,0
2102,15.0,41.92,one-year,dsl,no,Hebron,0
2103,58.0,22.18,two-year,dsl,yes,Ramallah,0
2104,1.0,74.2,month-to-month,fiber,yes,Bethlehem,1
2105,58.0,62.62,one-year,fiber,no,Hebron,0
2106,57.0,83.11,month-to-month,dsl,yes,,0
2107,57.0,88.44,two-year,fiber,no,Hebron,0
2108,48.0,76.04,month-to-month,fiber,yes,Hebron,0
2109,34.0,89.72,one-year,fiber,yes,Hebron,0
2110,51.0,78.04,month-to-month,fiber,no,Bethlehem,1
2111,20.0,84.66,one-year,dsl,yes,Nablus,0
2112,57.0,57.5,one-year,dsl,no,Ramallah,0
2113,41.0,69.05,month-to-month,dsl,yes,Nablus,0
2114,34.0,,two-year,dsl,no,Nablus,0
2115,37.0,91.05,month-to-month,none,no,Nablus,1
2116,41.0,64.34,one-year,fiber,no,Nablus,0
2117,3.0,84.47,month-to-month,fiber,yes,Hebron,0
2118,11.0,67.15,month-to-month,none,yes,Ramallah,0
2119,18.0,70.41,month-to-month,fiber,yes,Nablus,1
2120,9.0,91.25,month-to-month,dsl,no,Hebron,1
2121,32.0,29.15,month-to-month,dsl,yes,Ramallah,0
2122,49.0,44.48,one-year,fiber,yes,Hebron,0
2123,48.0,40.39,one-year,fiber,yes,Bethlehem,1
2124,34.0,,one-year,fiber,yes,Hebron,0
2125,62.0,58.08,month-to-month,fiber,yes,Hebron,0
2126,41.0,89.49,month-to-month,fiber,yes,Nablus,0
2127,6.0,66.73,month-to-month,fiber,yes,Hebron,1
2128,56.0,77.35,one-year,dsl,no,Ramallah,0
2129,42.0,96.96,two-year,none,yes,Ramallah,0
2130,46.0,102.21,month-to-month,dsl,yes,Hebron,0
2131,41.0,71.48,one-year,fiber,no,Bethlehem,0
2132,40.0,102.78,month-to-month,fiber,no,Nablus,0
2133,7.0,75.03,month-to-month,fiber,yes,Hebron,0
2134,41.0,54.58,month-to-month,fiber,no,Nablus,0
2135,58.0,59.92,month-to-month,none,no,Nablus,0
2136,22.0,40.43,one-year,fiber,no,Nablus,0
2137,44.0,53.46,two-year,fiber,no,Nablus,0
2138,3.0,65.12,month-to-month,dsl,no,Bethlehem,0
2139,26.0,90.68,one-year,fiber,yes,Ramallah,1
2140,32.0,110.86,one-year,fiber,no,Ramallah,0
2141,71.0,42.59,two-year,fiber,no,Nablus,1
2142,16.0,81.64,one-year,dsl,no,Bethlehem,1
2143,20.0,50.11,month-to-month,dsl,no,Nablus,0
2144,30.0,,one-year,fiber,yes,Hebron,0
2145,72.0,70.12,month-to-month,none,no,Ramallah,0
2146,62.0,32.72,two-year,dsl,yes,Nablus,0
2147,3.0,93.42,month-to-month,dsl,no,Hebron,1
2148,17.0,59.69,one-year,fiber,no,Bethlehem,0
2149,60.0,61.25,month-to-month,fiber,no,Bethlehem,0
2150,5.0,49.47,month-to-month,dsl,no,Bethlehem,1
2151,62.0,58.61,two-year,fiber,no,Hebron,1
2152,21.0,82.41,one-year,dsl,no,Nablus,0
2153,67.0,68.84,month-to-month,dsl,no,Nablus,0
2154,22.0,80.23,two-year,fiber,no,Nablus,1
2155,32.0,80.96,two-year,dsl,no,Bethlehem,0
2156,48.0,102.05,month-to-month,none,yes,Ramallah,0
2157,10.0,65.46,one-year,dsl,no,Nablus,1
2158,41.0,40.51,month-to-month,fiber,yes,Nablus,0
2159,37.0,96.48,one-year,dsl,no,Bethlehem,0
2160,57.0,65.71,month-to-month,dsl,no,Bethlehem,0
2161,72.0,97.52,month-to-month,dsl,no,Ramallah,1
2162,48.0,81.43,two-year,dsl,yes,Bethlehem,0
2163,30.0,,two-year,dsl,yes,Hebron,0
2164,30.0,80.67,two-year,fiber,no,,0
2165,31.0,115.92,two-year,fiber,yes,Nablus,0
2166,59.0,118.69,one-year,fiber,yes,Hebron,0
2167,24.0,74.53,one-year,dsl,no,Ramallah,0
2168,13.0,76.52,one-year,dsl,no,Nablus,1
2169,25.0,96.68,month-to-month,dsl,yes,Nablus,0
2170,2.0,54.4,month-to-month,fiber,yes,Hebron,0
2171,8.0,80.33,month-to-month,dsl,no,Ramallah,1
2172,7.0,72.43,one-year,none,no,Hebron,0
2173,56.0,79.91,month-to-month,fiber,no,Nablus,0
2174,53.0,54.67,month-to-month,dsl,yes,Ramallah,0
2175,51.0,38.03,one-year,dsl,yes,Nablus,0
2176,34.0,27.39,month-to-month,dsl,yes,Nablus,0
2177,52.0,48.42,month-to-month,fiber,no,Bethlehem,0
2178,12.0,62.91,two-year,dsl,yes,Hebron,0
2179,65.0,66.55,two-year,none,yes,Bethlehem,0
2180,37.0,115.62,month-to-month,dsl,no,Hebron,1
2181,68.0,97.33,month-to-month,none,no,Hebron,0
2182,11.0,51.83,month-to-month,none,no,Hebron,1
2183,36.0,80.65,two-year,fiber,no,Hebron,1
2184,51.0,64.04,two-year,dsl,no,Bethlehem,0
2185,36.0,66.74,month-to-month,dsl,no,Hebron,1
2186,33.0,77.08,one-year,none,yes,Nablus,0
2187,12.0,86.62,month-to-month,fiber,no,Ramallah,1
2188,28.0,65.54,month-to-month,fiber,no,Hebron,0
2189,18.0,96.4,two-year,dsl,no,Ramallah,0
2190,22.0,47.88,month-to-month,fiber,no,Hebron,0
2191,50.0,73.14,month-to-month,dsl,no,Ramallah,0
2192,46.0,130.15,month-to-month,fiber,yes,Nablus,1
2193,44.0,77.91,one-year,none,yes,Nablus,0
2194,27.0,104.53,two-year,dsl,yes,Ramallah,0
2195,70.0,75.01,two-year,fiber,yes,Bethlehem,0
2196,7.0,85.78,month-to-month,dsl,yes,Nablus,1
2197,25.0,71.75,month-to-month,fiber,yes,Ramallah,0
2198,9.0,69.25,two-year,dsl,no,Ramallah,0
2199,25.0,55.85,month-to-month,dsl,no,Hebron,0
2200,70.0,82.47,two-year,dsl,no,Bethlehem,0
2201,27.0,54.27,one-year,fiber,yes,Bethlehem,0
2202,66.0,,month-to-month,fiber,yes,Ramallah,1
2203,36.0,96.88,two-year,dsl,yes,Nablus,0
2204,51.0,81.06,month-to-month,dsl,yes,Nablus,0
2205,33.0,66.7,month-to-month,dsl,yes,Nablus,0
2206,20.0,82.99,one-year,fiber,no,Hebron,1
2207,56.0,66.21,month-to-month,fiber,yes,Bethlehem,0
2208,70.0,93.58,one-year,dsl,yes,Bethlehem,0
2209,19.0,32.71,one-year,fiber,no,Bethlehem,0
2210,57.0,65.62,two-year,fiber,no,Bethlehem,0
2211,19.0,29.2,two-year,none,no,Bethlehem,0
2212,52.0,40.11,month-to-month,fiber,yes,Nablus,0
2213,57.0,103.0,month-to-month,dsl,no,Hebron,0
2214,33.0,92.69,one-year,fiber,yes,Ramallah,0
2215,54.0,57.17,two-year,dsl,no,Hebron,0
2216,20.0,39.94,month-to-month,dsl,no,Hebron,0
2217,6.0,20.0,month-to-month,dsl,no,Bethlehem,1
2218,7.0,61.04,month-to-month,fiber,yes,Bethlehem,0
2219,33.0,126.25,month-to-month,dsl,no,Nablus,1
2220,65.0,82.57,one-year,dsl,yes,Nablus,0
2221,10.0,60.69,month-to-month,fiber,yes,Hebron,1
2222,33.0,83.23,one-year,fiber,yes,Hebron,0
2223,51.0,38.66,two-year,fiber,no,Bethlehem,0
2224,15.0,66.46,two-year,none,yes,Ramallah,0
2225,52.0,75.19,month-to-month,dsl,no,Nablus,0
2226,23.0,71.11,month-to-month,dsl,yes,Ramallah,0
2227,59.0,90.4,one-year,dsl,no,Hebron,0
2228,42.0,80.58,two-year,dsl,no,Bethlehem,0
2229,40.0,87.7,month-to-month,dsl,yes,Bethlehem,1
2230,13.0,57.86,two-year,fiber,yes,Nablus,0
2231,34.0,92.75,month-to-month,dsl,yes,Ramallah,1
2232,62.0,108.84,two-year,fiber,no,Nablus,0
2233,2.0,51.66,month-to-month,dsl,yes,Bethlehem,0
2234,55.0,53.47,month-to-month,dsl,no,Nablus,0
2235,36.0,102.39,month-to-month,fiber,no,Ramallah,1
2236,52.0,68.79,month-to-month,dsl,no,Ramallah,1
2237,48.0,103.88,month-to-month,fiber,no,Nablus,1
2238,32.0,,month-to-month,none,no,Ramallah,0
2239,23.0,105.01,month-to-month,none,no,Nablus,1
2240,46.0,75.89,one-year,none,yes,Hebron,0
2241,11.0,78.68,month-to-month,fiber,no,Hebron,1
2242,43.0,107.42,one-year,fiber,yes,Bethlehem,0
2243,7.0,65.04,two-year,fiber,no,Ramallah,0
2244,47.0,52.3,month-to-month,fiber,no,Ramallah,0
2245,46.0,63.13,month-to-month,fiber,no,Nablus,0
2246,7.0,82.95,two-year,fiber,no,Ramallah,0
2247,55.0,38.55,two-year,none,yes,Bethlehem,0
2248,30.0,87.02,month-to-month,fiber,yes,Hebron,1
2249,57.0,61.15,two-year,fiber,yes,Bethlehem,0
2250,3.0,98.25,month-to-month,dsl,no,Hebron,1
2251,13.0,20.33,month-to-month,dsl,no,Ramallah,1
2252,36.0,55.7,one-year,dsl,yes,Nablus,0
2253,14.0,35.9,month-to-month,dsl,yes,Bethlehem,0
2254,24.0,54.82,one-year,dsl,yes,Hebron,0
2255,48.0,78.45,month-to-month,dsl,yes,Nablus,0
2256,11.0,69.06,one-year,dsl,yes,Hebron,0
2257,49.0,67.43,month-to-month,dsl,no,Hebron,0
2258,8.0,69.5,month-to-month,fiber,no,Bethlehem,1
2259,13.0,77.47,month-to-month,fiber,yes,Nablus,0
2260,43.0,50.81,month-to-month,fiber,no,Ramallah,0
2261,58.0,88.55,one-year,fiber,no,Nablus,0
2262,13.0,87.58,month-to-month,dsl,yes,Ramallah,0
2263,22.0,81.47,month-to-month,fiber,yes,,0
2264,67.0,85.24,month-to-month,fiber,yes,Ramallah,0
2265,72.0,,month-to-month,fiber,yes,Ramallah,0
2266,42.0,117.77,two-year,dsl,no,Bethlehem,0
2267,33.0,71.08,month-to-month,fiber,no,Ramallah,1
2268,25.0,66.24,two-year,dsl,yes,Ramallah,0
2269,45.0,56.42,month-to-month,dsl,no,Nablus,0
2270,43.0,50.29,one-year,fiber,yes,Bethlehem,0
2271,22.0,45.62,month-to-month,dsl,no,Ramallah,0
2272,2.0,53.45,month-to-month,fiber,no,Bethlehem,0
2273,11.0,71.45,two-year,fiber,yes,Ramallah,0
2274,70.0,80.35,two-year,dsl,yes,Nablus,0
2275,31.0,74.13,two-year,none,no,Bethlehem,0
2276,35.0,56.16,month-to-month,fiber,no,Ramallah,1
2277,34.0,92.8,month-to-month,dsl,yes,Hebron,1
2278,57.0,89.27,one-year,fiber,yes,Nablus,0
2279,5.0,69.49,month-to-month,dsl,yes,Hebron,0
2280,6.0,58.64,one-year,dsl,no,Ramallah,0
2281,20.0,85.07,one-year,dsl,no,Bethlehem,1
2282,36.0,77.14,one-year,dsl,no,Ramallah,0
2283,49.0,41.14,two-year,fiber,no,Nablus,0
2284,36.0,71.5,one-year,dsl,no,Nablus,1
2285,32.0,78.76,month-to-month,dsl,no,Hebron,1
2286,68.0,53.21,month-to-month,dsl,yes,Ramallah,0
2287,12.0,77.18,one-year,fiber,no,Nablus,0
2288,42.0,40.99,month-to-month,fiber,yes,Hebron,0
2289,40.0,102.4,month-to-month,fiber,yes,Ramallah,0
2290,35.0,100.45,month-to-month,fiber,no,Ramallah,1
2291,59.0,67.44,one-year,fiber,no,Bethlehem,1
2292,20.0,81.0,two-year,fiber,no,Hebron,1
2293,69.0,20.0,one-year,dsl,yes,Bethlehem,0
2294,24.0,47.56,month-to-month,fiber,no,Ramallah,1
2295,40.0,,month-to-month,dsl,no,Nablus,0
2296,38.0,49.41,month-to-month,dsl,yes,Nablus,0
2297,62.0,88.72,month-to-month,dsl,yes,Ramallah,0
2298,32.0,116.94,one-year,dsl,no,Bethlehem,0
2299,21.0,47.11,one-year,dsl,yes,Hebron,0
2300,2.0,54.58,month-to-month,dsl,no,Hebron,0
2301,27.0,78.18,month-to-month,none,yes,Bethlehem,0
2302,60.0,108.44,month-to-month,dsl,yes,Nablus,0
2303,1.0,46.11,two-year,dsl,no,Bethlehem,0
2304,65.0,78.48,one-year,dsl,yes,Ramallah,0
2305,40.0,113.07,month-to-month,dsl,no,Hebron,1
2306,11.0,36.66,two-year,fiber,no,Hebron,0
2307,22.0,44.82,month-to-month,dsl,yes,Ramallah,0
2308,40.0,63.68,month-to-month,dsl,no,Hebron,1
2309,23.0,61.55,two-year,none,no,Bethlehem,0
2310,8.0,90.88,month-to-month,dsl,no,Hebron,1
2311,48.0,78.32,month-to-month,fiber,no,Bethlehem,1
2312,49.0,33.95,one-year,none,no,Hebron,0
2313,9.0,84.34,month-to-month,fiber,no,Hebron,1
2314,21.0,60.29,one-year,fiber,yes,Ramallah,0
2315,18.0,101.04,month-to-month,fiber,no,,1
2316,48.0,59.19,month-to-month,fiber,no,Ramallah,0
2317,53.0,58.99,month-to-month,fiber,no,Ramallah,0
2318,53.0,84.9,month-to-month,fiber,no,Nablus,1
2319,68.0,89.78,month-to-month,dsl,no,Nablus,0
2320,56.0,82.86,month-to-month,dsl,no,Hebron,0
2321,24.0,35.92,two-year,fiber,no,Hebron,0
2322,8.0,84.84,month-to-month,dsl,yes,Hebron,1
2323,45.0,50.25,month-to-month,fiber,yes,Hebron,0
2324,66.0,78.18,month-to-month,none,no,Hebron,0
2325,71.0,41.68,month-to-month,fiber,no,Ramallah,0
2326,17.0,82.82,month-to-month,dsl,no,Nablus,1
2327,18.0,55.25,one-year,fiber,yes,Ramallah,0
2328,3.0,44.78,month-to-month,dsl,yes,Ramallah,0
2329,11.0,88.7,two-year,fiber,no,Ramallah,0
2330,40.0,78.32,two-year,dsl,no,Nablus,0
2331,40.0,59.49,month-to-month,fiber,no,Ramallah,0
2332,27.0,,month-to-month,none,no,Hebron,0
2333,23.0,63.31,month-to-month,dsl,no,Ramallah,0
2334,60.0,73.71,one-year,dsl,no,Hebron,0
2335,34.0,78.92,month-to-month,dsl,no,Ramallah,0
2336,59.0,59.37,two-year,none,no,Bethlehem,0
2337,70.0,83.36,one-year,fiber,no,Ramallah,0
2338,23.0,61.26,two-year,fiber,yes,Hebron,0
2339,15.0,63.94,month-to-month,fiber,yes,Nablus,1
2340,69.0,102.98,two-year,fiber,no,Hebron,0
2341,46.0,50.11,month-to-month,dsl,no,Hebron,0
2342,21.0,20.0,month-to-month,none,no,Hebron,0
2343,45.0,108.44,month-to-month,none,yes,Bethlehem,0
2344,38.0,129.09,two-year,dsl,no,Bethlehem,0
2345,66.0,64.08,one-year,dsl,yes,Nablus,0
2346,19.0,30.39,two-year,dsl,no,Nablus,0
2347,72.0,66.17,month-to-month,none,no,Nablus,0
2348,68.0,66.7,two-year,fiber,no,Nablus,0
2349,14.0,68.82,month-to-month,dsl,no,Nablus,0
2350,12.0,48.51,month-to-month,dsl,yes,Bethlehem,0
2351,39.0,85.75,two-year,fiber,no,Nablus,1
2352,4.0,84.54,month-to-month,fiber,no,Hebron,1
2353,22.0,40.12,month-to-month,none,no,Ramallah,1
2354,32.0,88.38,one-year,none,no,Bethlehem,0
2355,70.0,118.16,month-to-month,none,yes,Ramallah,0
2356,72.0,76.78,month-to-month,dsl,yes,Hebron,0
2357,11.0,65.58,month-to-month,fiber,yes,Bethlehem,0
2358,65.0,69.88,month-to-month,fiber,yes,Nablus,1
2359,7.0,86.54,two-year,dsl,yes,Nablus,0
2360,54.0,34.93,one-year,dsl,no,Ramallah,1
2361,61.0,76.62,month-to-month,dsl,no,Hebron,0
2362,65.0,,month-to-month,dsl,yes,Ramallah,0
2363,17.0,113.65,month-to-month,fiber,yes,Ramallah,0
2364,65.0,69.17,one-year,dsl,yes,Bethlehem,0
2365,9.0,109.69,two-year,fiber,no,Ramallah,0
2366,38.0,48.72,two-year,fiber,yes,Hebron,0
2367,34.0,85.92,month-to-month,fiber,no,Ramallah,0
2368,23.0,80.03,month-to-month,fiber,no,Bethlehem,0
2369,2.0,53.88,month-to-month,dsl,yes,Ramallah,0
2370,56.0,76.9,one-year,fiber,no,Ramallah,0
2371,25.0,99.68,month-to-month,fiber,no,Nablus,1
2372,48.0,65.88,one-year,dsl,yes,Nablus,0
2373,30.0,35.78,one-year,dsl,yes,Ramallah,1
2374,27.0,72.61,month-to-month,fiber,no,Bethlehem,1
2375,64.0,53.15,month-to-month,fiber,no,Nablus,0
2376,7.0,65.47,month-to-month,fiber,no,Hebron,0
2377,54.0,71.21,month-to-month,dsl,no,Ramallah,0
2378,54.0,35.48,month-to-month,fiber,yes,Bethlehem,0
2379,28.0,37.46,one-year,fiber,no,Ramallah,0
2380,19.0,83.61,month-to-month,fiber,no,Nablus,0
2381,1.0,61.5,month-to-month,dsl,yes,,0
2382,68.0,20.0,one-year,fiber,no,Nablus,0
2383,69.0,90.27,one-year,dsl,no,Bethlehem,0
2384,18.0,78.99,month-to-month,fiber,no,Hebron,0
2385,3.0,,two-year,dsl,yes,Nablus,0
2386,9.0,44.03,two-year,fiber,yes,Nablus,0
2387,5.0,91.39,one-year,fiber,no,Hebron,0
2388,60.0,80.69,one-year,fiber,no,Nablus,0
2389,65.0,125.42,month-to-month,dsl,no,Hebron,0
2390,12.0,82.24,two-year,none,no,Ramallah,0
2391,54.0,81.53,month-to-month,fiber,no,Ramallah,1
2392,13.0,69.33,two-year,fiber,yes,Hebron,0
2393,27.0,90.97,one-year,none,yes,,0
2394,44.0,86.75,month-to-month,dsl,yes,Hebron,0
2395,52.0,,month-to-month,fiber,yes,Ramallah,0
2396,63.0,61.53,one-year,fiber,no,Bethlehem,0
2397,4.0,63.42,one-year,dsl,yes,Bethlehem,0
2398,15.0,62.46,month-to-month,dsl,yes,Hebron,1
2399,21.0,90.4,one-year,dsl,no,Ramallah,0
2400,23.0,105.96,two-year,none,yes,Nablus,0
2401,72.0,,month-to-month,dsl,yes,Bethlehem,0
2402,56.0,63.65,month-to-month,fiber,no,Bethlehem,0
2403,24.0,79.91,month-to-month,dsl,yes,Nablus,0
2404,70.0,67.59,one-year,fiber,no,,0
2405,36.0,93.95,month-to-month,fiber,no,Bethlehem,1
2406,37.0,23.46,two-year,fiber,yes,Hebron,0
2407,32.0,54.81,month-to-month,fiber,no,Hebron,0
2408,11.0,55.79,one-year,dsl,no,Nablus,1
2409,68.0,21.95,month-to-month,fiber,no,Nablus,1
2410,2.0,51.8,month-to-month,fiber,no,Hebron,0
2411,13.0,52.87,one-year,dsl,no,Hebron,0
2412,17.0,68.58,month-to-month,dsl,no,Nablus,0
2413,21.0,97.49,month-to-month,dsl,no,Ramallah,1
2414,10.0,67.61,two-year,dsl,yes,Nablus,0
2415,2.0,50.32,two-year,dsl,no,Ramallah,0
2416,49.0,71.75,two-year,fiber,no,Nablus,0
2417,70.0,96.08,month-to-month,dsl,no,Ramallah,0
2418,9.0,51.53,one-year,dsl,yes,Ramallah,0
2419,22.0,52.97,two-year,fiber,yes,Ramallah,0
2420,37.0,85.29,month-to-month,fiber,no,Nablus,0
2421,67.0,68.13,month-to-month,fiber,no,Nablus,0
2422,50.0,87.24,two-year,fiber,no,Nablus,0
2423,56.0,72.7,month-to-month,fiber,yes,,0
2424,42.0,88.44,one-year,fiber,yes,Hebron,0
2425,31.0,50.23,two-year,dsl,no,Bethlehem,0
2426,15.0,72.73,one-year,none,yes,Nablus,0
2427,63.0,,month-to-month,fiber,no,Nablus,0
2428,58.0,46.25,month-to-month,none,yes,Bethlehem,0
2429,2.0,38.6,month-to-month,fiber,yes,Bethlehem,0
2430,52.0,88.09,month-to-month,none,yes,Nablus,0
2431,7.0,65.28,two-year,none,no,Bethlehem,0
2432,54.0,50.51,two-year,fiber,no,Ramallah,0
2433,60.0,70.88,month-to-month,dsl,no,Nablus,0
2434,10.0,97.82,month-to-month,none,no,Ramallah,1
2435,32.0,22.82,two-year,none,yes,Nablus,1
2436,9.0,40.07,month-to-month,none,no,Hebron,1
2437,41.0,52.7,month-to-month,dsl,yes,Bethlehem,1
2438,67.0,105.15,month-to-month,fiber,yes,Hebron,1
2439,6.0,79.22,one-year,dsl,no,Nablus,0
2440,29.0,89.88,month-to-month,dsl,yes,Hebron,1
2441,71.0,47.92,one-year,dsl,no,Hebron,0
2442,22.0,48.37,month-to-month,fiber,no,Bethlehem,1
2443,10.0,82.85,one-year,dsl,no,Bethlehem,0
2444,36.0,74.28,month-to-month,fiber,no,Hebron,0
2445,37.0,85.07,month-to-month,dsl,no,Hebron,1
2446,48.0,68.87,month-to-month,fiber,yes,Bethlehem,1
2447,23.0,79.12,month-to-month,dsl,yes,Bethlehem,0
2448,69.0,76.48,month-to-month,dsl,yes,Hebron,0
2449,38.0,90.11,month-to-month,dsl,no,Nablus,0
2450,21.0,90.75,month-to-month,dsl,no,Ramallah,1
2451,70.0,37.36,month-to-month,fiber,yes,Nablus,0
2452,67.0,23.56,two-year,none,no,Ramallah,0
2453,36.0,95.04,month-to-month,dsl,no,Hebron,0
2454,2.0,99.13,two-year,fiber,no,Ramallah,0
2455,43.0,50.55,two-year,fiber,no,Nablus,0
2456,40.0,32.08,month-to-month,fiber,no,Bethlehem,0
2457,11.0,75.18,one-year,fiber,no,Hebron,1
2458,46.0,93.48,two-year,none,no,Bethlehem,0
2459,61.0,112.55,one-year,dsl,yes,Nablus,0
2460,8.0,,month-to-month,fiber,no,Bethlehem,1
2461,53.0,64.82,month-to-month,dsl,yes,Bethlehem,0
2462,11.0,53.35,month-to-month,fiber,no,Hebron,0
2463,54.0,73.25,month-to-month,dsl,yes,Hebron,0
2464,31.0,66.42,two-year,fiber,yes,Bethlehem,0
2465,1.0,50.67,two-year,dsl,yes,Hebron,0
2466,70.0,118.07,month-to-month,none,no,Hebron,1
2467,12.0,112.27,one-year,fiber,yes,Ramallah,0
